110,0,0,0,0,3,7,25,46,71,101,106,83,72,92,60
120,0,0,3,0,3,3,10,29,41,60,59,44,39,58,36
130,0,0,0,5,0,4,5,24,26,51,41,34,30,42,37
140,0,0,0,0,4,6,9,17,46,40,34,23,29,29,20
150,0,0,0,0,4,0,4,20,25,38,22,17,16,31,35
200,0,0,6,11,6,12,23,45,75,98,77,77,64,94,96
250,0,0,0,0,0,9,12,22,42,70,44,34,38,78,60
300,0,4,0,0,4,0,23,36,35,59,31,28,22,40,33
350,0,0,3,0,5,3,9,17,18,31,19,24,20,24,19
400,0,0,0,0,0,0,4,10,14,11,8,10,9,10,7
600,0,0,0,0,7,4,9,21,34,31,35,34,15,20,34
800,0,6,5,3,3,7,8,24,46,60,60,75,48,88,102
1000,0,0,0,5,10,11,29,49,129,182,208,190,186,285,224
3000,0,5,3,3,5,10,31,61,103,141,122,100,89,162,124
5000,0,5,0,0,4,0,11,28,40,62,59,48,56,124,113
